Designator,Mid X,Mid Y,Rotation,Layer
D1,9.763125,38.1,0.0,bottom
D10,28.813125,0.0,0.0,bottom
D11,47.863125,0.0,0.0,bottom
D12,66.913125,0.0,0.0,bottom
D2,28.813125,38.1,0.0,bottom
D3,47.863125,38.1,0.0,bottom
D4,66.913125,38.1,0.0,bottom
D5,9.763125,19.05,0.0,bottom
D6,28.813125,19.05,0.0,bottom
D7,47.863125,19.05,0.0,bottom
D8,66.913125,19.05,0.0,bottom
D9,9.763125,0.0,0.0,bottom
H1,76.2,0.0,0.0,top
H2,0.0,75.009438,0.0,top
H3,0.0,38.1,0.0,top
H4,0.0,0.0,0.0,top
H5,38.1,75.009375,0.0,top
H6,76.2,38.1,0.0,top
SW1,9.525,49.715,0.0,top
SW10,28.575,11.615,0.0,top
SW11,47.625,11.615,0.0,top
SW12,66.675,11.615,0.0,top
SW13,7.25,64.29375,0.0,top
SW2,28.575,49.715,0.0,top
SW3,47.625,49.715,0.0,top
SW4,66.675,49.715,0.0,top
SW5,9.525,30.665,0.0,top
SW6,28.575,30.665,0.0,top
SW7,47.625,30.665,0.0,top
SW8,66.675,30.665,0.0,top
SW9,9.525,11.615,0.0,top
U1,68.575,68.341875,0.0,top
U2,20.240625,64.373125,90.0,top
